Id,SalePrice
1461,113493.17022984367
1462,175715.17405644688
1463,176907.80342736564
1464,174690.62708554236
1465,168673.8849398105
1466,169222.87773342922
1467,155309.8055959904
1468,154835.95083749143
1469,177439.57139113333
1470,111481.37333937614
1471,176864.7722795712
1472,96432.44457693206
1473,107753.74557531979
1474,158027.385788999
1475,104871.18355641136
1476,277857.36820399354
1477,206610.62630291266
1478,228740.3920980556
1479,246559.1645564824
1480,372152.7704328131
1481,274397.27413003135
1482,181606.86494995895
1483,174996.6751669942
1484,149274.4149245878
1485,144509.90726033284
1486,180790.239045093
1487,290764.07484442275
1488,213939.31497533014
1489,159764.4987105971
1490,195689.44318323175
1491,173624.64896447715
1492,130162.34446514616
1493,199425.63740838575
1494,256632.4570798681
1495,255257.70544735683
1496,198563.4387410425
1497,175924.78702777487
1498,121300.03908838809
1499,121300.03908838809
1500,124320.55927523671
1501,156806.12524898953
1502,107045.88770987173
1503,188504.45428870482
1504,198093.0672142755
1505,199138.23785260465
1506,247565.0630017162
1507,270616.4412459518
1508,220357.39985328238
1509,178369.8497224767
1510,161776.29560106463
1511,158471.20070958225
1512,201724.83385463434
1513,201296.3680433013
1514,233051.38543477177
1515,306571.61688531085
1516,176224.33569753866
1517,146831.51870044862
1518,215232.61297634497
1519,197413.8405179182
1520,148987.0153688067
1521,158040.10137591063
1522,211783.81830697207
1523,146667.5703992536
1524,137634.73291545417
1525,124414.35334952461
1526,126713.54979577323
1527,126282.45046210161
1528,136229.7501162184
1529,153585.40826130394
1530,185199.35939722243
1531,208640.40582496894
1532,119241.16134546523
1533,178301.77005847657
1534,139152.9010893915
1535,183163.2642787895
1536,152582.051430753
1537,104296.3844448492
1538,171741.48597911446
1539,244215.4213589639
1540,241474.48455503903
1541,159979.3862400996
1542,181580.68348789538
1543,227614.1429723502
1544,94668.49932618313
1545,116072.98358372084
1546,135793.94269730125
1547,163755.3197101248
1548,150186.51929553365
1549,104766.0900775342
1550,169104.79294467333
1551,138209.5320270163
1552,202455.75758103683
1553,162268.60004292818
1554,135411.432306063
1555,225435.29720657322
1556,130788.27413382454
1557,174004.90097749702
1558,97723.20096326405
1559,199140.30490201424
1560,181665.24520700358
1561,247996.16233538775
1562,112918.37111828152
1563,108894.77733734644
1564,182037.96428363057
1565,148612.4130580815
1566,197844.93985158982
1567,93375.20132516828
1568,217743.30562801982
1569,182728.39847692146
1570,139071.73069435955
1571,152723.2095939607
1572,153154.30892763232
1573,201437.43429885327
1574,171260.4809418402
1575,190659.9509570629
1576,193575.75280915454
1577,160339.29782215925
1578,155669.33452043252
1579,123408.45490429085
